ID,Name,Type,Website,Purpose,Meeting Day,Meeting Location
1630,Ballet Folklórico Xochipilli de San Diego State University,Cultural,,The purpose of this organization is to provide a welcoming environment for SDSU students and the surrounding community who seek to learn the traditional Mexican style of dancing known as folklorico. We provide a space for students to learn and experience the Mexican culture in a fun and energetic way while providing opportunities to perform in various cultural events.,Tuesdays 6:30pm - 8:30pm,Mata'yuum suite
1671,Artificial Intelligence Club (AI Club),Leadership,https://aiclub.sdsu.edu,"Provide exposure, foundational skills, and discussion in the areas of Artificial Intelligence, Machine Learning, Data Science, and Computer Vision through Tutorials, Competitions, Seminars, and Projects.","Friday, 1pm - 2pm","Student Union 353, Visionary Suite"
1703,Roundtable Writers,Academic Major Related,https://roundtablewriters.wixsite.com/theroundtablewriters,"Roundtable Writers is an organization aimed at uniting writers on-campus to share their works, improve their craft and join a productive community of writers.",Sundays 7pm - 9pm,Zoom online
1718,Epsilon Eta Environmental Honors Fraternity,Academic Major Related,http:// https://epsilonetasdsu.weebly.com/,"The purpose of this organization is to develop members professionally, while advocating for sustainability through the immense amounts of biodiversity in the county of San Diego.",Every other Tuesday 7-8PM,Pride Suite in the Student Union
1729,Rho Lambda,Greek Auxiliary Group,http://www.rholambda.org,"Rho Lambda is a national sorority leadership recognition society. The purpose of this organization is to honor those women within the San Diego State University’s social sorority community who have been outstanding in the display of demonstrated leadership, ability, and loyalty to the Greek community and their sorority.",Sunday 7:00PM,Zoom
1739,Turning Point USA at SDSU,Political,http://www.tpusa.com,"To identify, educate, train, and organize students to promote the principles of freedom, free markets, and limited government.",Thursday 7:00 PM,Mata'yuum
1756,Compass College,Religious Based,http://www.compasschurchsd.com/,"To help students discover their purpose, enjoy nurturing community, and grow in a personal relationship with God.",Wednesdays 7-9,Conrad Prebys Aztec Student Union Visionary Suite
1761,Oaks International,Religious Based,http://Oaksintl.org,"The purpose Oaks International is to proclaim Christ and multiply disciplemakers at San Diego State University for the glory of God and the joy of all nations. We study the Bible, equip students with the basics of Christianity, and help them share God’s love by serving others.",Thursdays at 7:00-9:00,San Diego State University
1768,Mechatronics,Academic Major Related,https://www.sdsumechatronics.org/,We are a multidisciplinary team of undergraduate engineering and business students from San Diego State University. Our goal is to give hands-on experience to passionate students through challenging robotics projects like autonomous underwater vehicles for the annual RoboSub competition.,Fridays at 6P,E-201
1780,City Planning Association SDSU,Academic Major Related,,To promote the academic and professional field of City Planning and interested students professional and social events at SDSU by planning events for the student body and members of the organization.,every first Tuesday of the Month 6:30 pm,Adams and Humanity Fourth Floor Quad
